"","Locality","Townland","Town"
"1",NA,"BALLYLEIGHERY UPPER","LIMAVADY"
"2","BALLYSCULLION","DUNCRUN","LIMAVADY"
"3",NA,"CLOONEY","LIMAVADY"
"4",NA,"BALLYSCULLION","LIMAVADY"
"5",NA,"OUGHTYMOYLE","LIMAVADY"
"6",NA,"DRUMAVALLY","LIMAVADY"
"7",NA,"BELLARENA","LIMAVADY"
"8","FRUITHILL","CARBULLION","LIMAVADY"
"9","FRUITHILL","ARTIKELLY","LIMAVADY"
"10",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"11",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"12",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"13",NA,"RATHBRADY MORE","LIMAVADY"
"14",NA,"RATHBRADY MORE","LIMAVADY"
"15",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"16",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"17",NA,"ENAGH","LIMAVADY"
"18",NA,"ENAGH","LIMAVADY"
"19",NA,"TERRYDRUM","LIMAVADY"
"20",NA,"KILLANE","LIMAVADY"
"21",NA,"ENAGH","LIMAVADY"
"22",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"23",NA,"COOLESSAN","LIMAVADY"
"24",NA,"COOLESSAN","LIMAVADY"
"25",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"26",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"27",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"28",NA,"RATHBRADY MORE","LIMAVADY"
"29",NA,"RATHBRADY MORE","LIMAVADY"
"30",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"31",NA,"CARRAN","LIMAVADY"
"32",NA,"COOLESSAN","LIMAVADY"
"33",NA,"DEER PARK","LIMAVADY"
"34",NA,"BOVALLY","LIMAVADY"
"35",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"36",NA,"GLEBE","LIMAVADY"
"37",NA,"COOLESSAN","LIMAVADY"
"38",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"39",NA,"DRUMRAMER","LIMAVADY"
"40",NA,"BOVALLY","LIMAVADY"
"41",NA,"RATHBRADY MORE","LIMAVADY"
"42",NA,"BOVALLY","LIMAVADY"
"43",NA,"BOVALLY","LIMAVADY"
"44",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"45",NA,"BOVALLY","LIMAVADY"
"46",NA,"LARGY","LIMAVADY"
"47",NA,"MULKEERAGH","LIMAVADY"
"48",NA,"MAGHERAMORE","LIMAVADY"
"49",NA,"CARRICK EAST","LIMAVADY"
"50",NA,"RATHBRADY MORE","LIMAVADY"
"51",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"52",NA,"BALLYDARROG","LIMAVADY"
"53",NA,"BROGLASCO","LIMAVADY"
"54",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"55",NA,"MULKEERAGH","LIMAVADY"
"56","WHITE HILL BUSINESS PARK","CARRAN","LIMAVADY"
"57","NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"58",NA,"BOVALLY","LIMAVADY"
"59",NA,"MARGYMONAGHAN","LIMAVADY"
"60",NA,"BALLYHENRY WEST","LIMAVADY"
"61",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"62",NA,"WALWORTH","LIMAVADY"
"63",NA,"KILLYBREADY","LIMAVADY"
"64",NA,"RATHBRADY MORE","LIMAVADY"
"65","FRUITHILL","STREEVE","LIMAVADY"
"66",NA,"CARRAN","LIMAVADY"
"67",NA,"BOVALLY","LIMAVADY"
"68",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"69",NA,"KILLANE","LIMAVADY"
"70",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"71",NA,"OUGHTYMORE","LIMAVADY"
"72",NA,"ENAGH","LIMAVADY"
"73",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"74",NA,"CARROWCLARE","LIMAVADY"
"75",NA,"CULMORE LOWER","LIMAVADY"
"76",NA,"BOVALLY","LIMAVADY"
"77",NA,"ENAGH","LIMAVADY"
"78",NA,"KEADY","LIMAVADY"
"79",NA,"BOVALLY","LIMAVADY"
"80",NA,"DRUMAVALLY","LIMAVADY"
"81",NA,"UMBRA","LIMAVADY"
"82",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"83",NA,"CARROWCLARE","LIMAVADY"
"84",NA,"DRUMSURN LOWER","LIMAVADY"
"85","BOVALLY","BOVALLY","LIMAVADY"
"86",NA,"MULKEERAGH","LIMAVADY"
"87",NA,"GORTNAMONEY","LIMAVADY"
"88",NA,"GORTNAMONEY","LIMAVADY"
"89",NA,"ENAGH","LIMAVADY"
"90",NA,"MAGHERAMORE","LIMAVADY"
"91",NA,"BOVALLY","LIMAVADY"
"92",NA,"BOVALLY","LIMAVADY"
"93",NA,"BOVALLY","LIMAVADY"
"94",NA,"WALWORTH","LIMAVADY"
"95",NA,"TERRYDREMONT NORTH","LIMAVADY"
"96",NA,"ENAGH","LIMAVADY"
"97",NA,"CARRAN","LIMAVADY"
"98",NA,"BALLYLEAGRY","LIMAVADY"
"99",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"100",NA,"TIRCREVEN","LIMAVADY"
"101",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"102",NA,"ENAGH","LIMAVADY"
"103",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"104",NA,"ENAGH","LIMAVADY"
"105",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"106",NA,"SHANREAGH","LIMAVADY"
"107",NA,"ENAGH","LIMAVADY"
"108",NA,"COOLESSAN","LIMAVADY"
"109",NA,"COOLESSAN","LIMAVADY"
"110",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"111",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"112",NA,"BOVALLY","LIMAVADY"
"113",NA,"BALLYHANNA","LIMAVADY"
"114",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"115",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"116","LIMAVADY","DRUMRAIGHLAND","LIMAVADY"
"117",NA,"BOVALLY","LIMAVADY"
"118",NA,"BOVALLY","LIMAVADY"
"119",NA,"BOVALLY","LIMAVADY"
"120",NA,"CARROWCLARE","LIMAVADY"
"121",NA,"DUNCRUN","LIMAVADY"
"122",NA,"DRUMAVALLY","LIMAVADY"
"123",NA,"DRUMAVALLY","LIMAVADY"
"124",NA,"LOWER BALLYLEIGHERY","LIMAVADY"
"125",NA,"BALLYMACRAN","LIMAVADY"
"126","FRUITHILL","GRANNAGH","LIMAVADY"
"127",NA,"GORTNAMONEY","LIMAVADY"
"128",NA,"CRINDLE","LIMAVADY"
"129",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"130",NA,"RATHBRADY MORE","LIMAVADY"
"131",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"132",NA,"COOLESSAN","LIMAVADY"
"133",NA,"COOLESSAN","LIMAVADY"
"134",NA,"ENAGH","LIMAVADY"
"135",NA,"CARRAN","LIMAVADY"
"136",NA,"ENAGH","LIMAVADY"
"137",NA,"CARRAN","LIMAVADY"
"138",NA,"RATHBRADY MORE","LIMAVADY"
"139",NA,"ENAGH","LIMAVADY"
"140",NA,"CARRAN","LIMAVADY"
"141",NA,"ENAGH","LIMAVADY"
"142",NA,"RATHBRADY MORE","LIMAVADY"
"143",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"144",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"145",NA,"ENAGH","LIMAVADY"
"146",NA,"ENAGH","LIMAVADY"
"147",NA,"RATHBRADY MORE","LIMAVADY"
"148",NA,"ENAGH","LIMAVADY"
"149",NA,"DEER PARK","LIMAVADY"
"150","FRUITHILL","ARTIKELLY","LIMAVADY"
"151",NA,"COOLESSAN","LIMAVADY"
"152",NA,"ENAGH","LIMAVADY"
"153",NA,"ENAGH","LIMAVADY"
"154",NA,"ENAGH","LIMAVADY"
"155",NA,"RATHBRADY MORE","LIMAVADY"
"156",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"157",NA,"BOVALLY","LIMAVADY"
"158",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"159",NA,"BALLYCRUM","LIMAVADY"
"160",NA,"ENAGH","LIMAVADY"
"161",NA,"ARDGARVAN","LIMAVADY"
"162",NA,"LITTLE DERRY","LIMAVADY"
"163",NA,"BOVALLY","LIMAVADY"
"164",NA,"LECK","LIMAVADY"
"165",NA,"BOVALLY","LIMAVADY"
"166",NA,"BOVALLY","LIMAVADY"
"167",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"168",NA,"ENAGH","LIMAVADY"
"169",NA,"BOVALLY","LIMAVADY"
"170",NA,"CARRAN","LIMAVADY"
"171",NA,"BOVALLY","LIMAVADY"
"172",NA,"BOVALLY","LIMAVADY"
"173",NA,"ARDGARVAN","LIMAVADY"
"174",NA,"GORTGARN","LIMAVADY"
"175",NA,"ENAGH","LIMAVADY"
"176",NA,"MAINE SOUTH","LIMAVADY"
"177",NA,"DRUMSURN LOWER","LIMAVADY"
"178",NA,"TEMPLEMOYLE","LIMAVADY"
"179",NA,"BALLYQUIN","LIMAVADY"
"180",NA,"CLOGHAN","LIMAVADY"
"181",NA,"DRUMSURN UPPER","LIMAVADY"
